phase,mode,architecture,seed,qubits,optimizer,final,best,evals
phase2,ideal,resqnet,30,8,qnspsa,-0.5622925180898831,-0.7880953926490515,1200
phase2,ideal,resqnet,40,16,cobyla,-0.9999879437373888,-0.9999879437373888,8400
phase2,ideal,resqnet,40,16,qnspsa,-0.6208820567187944,-0.7350357808874687,2346
phase2,ideal,resqnet,40,4,cobyla,-0.9999999951356955,-0.9999999984843798,1144
phase2,ideal,resqnet,40,4,qnspsa,-0.9234695961813987,-0.959281979168748,628
phase2,ideal,resqnet,40,8,cobyla,-0.9999461883373376,-0.9999462754006937,4200
phase2,ideal,resqnet,40,8,qnspsa,-0.7560454646926981,-0.826261064654815,1200
phase2,ideal,resqnet,50,16,cobyla,-0.9999999975888282,-0.9999999976867577,8400
phase2,ideal,resqnet,50,16,qnspsa,-0.8445073643744878,-0.9347446248633885,2346
phase2,ideal,resqnet,50,4,cobyla,-0.9999583376307176,-0.9999585777827547,2100
phase2,ideal,resqnet,50,4,qnspsa,-0.37378239366492527,-0.8966224461869793,628
phase2,ideal,resqnet,50,8,cobyla,-0.9998723461835319,-0.9998723461835319,4200
phase2,ideal,resqnet,50,8,qnspsa,-0.6126967997444658,-0.7353286184697394,1200
phase2,shot-noise,resqnet,10,16,cobyla,-0.47474747474747475,-0.7575757575757576,1761
phase2,shot-noise,resqnet,10,16,qnspsa,-0.45454545454545453,-0.898989898989899,2346
phase2,shot-noise,resqnet,10,4,cobyla,-0.898989898989899,-1.0,479
phase2,shot-noise,resqnet,10,4,qnspsa,-0.13131313131313133,-0.8383838383838383,628
phase2,shot-noise,resqnet,10,8,cobyla,0.13131313131313133,-0.29292929292929293,841
phase2,shot-noise,resqnet,10,8,qnspsa,-0.21212121212121213,-0.5555555555555556,1200
phase2,shot-noise,resqnet,20,16,cobyla,-0.8585858585858586,-0.9797979797979798,2133
phase2,shot-noise,resqnet,20,16,qnspsa,-0.6363636363636364,-0.8787878787878788,2346
phase2,shot-noise,resqnet,20,4,cobyla,-0.6161616161616161,-0.8181818181818182,409
phase2,shot-noise,resqnet,20,4,qnspsa,-0.43434343434343436,-0.9595959595959596,628
